,start_station_id,lat,lon,name,description
173,559,59.923898,10.6760339,Hoffsveien,ved Tingstuveien
174,560,59.945955,10.710392,Gaustad T-bane,langs Slemdalsveien
175,561,59.93347989334691,10.726294394131088,Kirkeveien,ved Gørbitz' gate
176,562,59.917485,10.732128,Slottsparken Øst,ved Nordraaks plass
177,563,59.9126844,10.7229003,Huitfeldts gate,ved Observatoriegata
178,564,59.9224222,10.7272388,Oscars gate,ved Hegdehaugsveien
179,565,59.9309181,10.7728203,Mailundveien,sør for Torshovdalen
180,566,59.9272941,10.6755714,Hoff terrasse holdeplass,langs Hoffsveien
181,567,59.94545063370256,10.713867957672134,Forskningsveien,ved SINTEF
182,568,59.9170851,10.7128796,Frognerveien,ved Vestheimgata
183,569,59.91783548782385,10.766373769557958,Botanisk hage sør-vest,ved Sars' gate
184,570,59.9347352,10.7096985,Frøen T-bane,langs Slemdalsveien
185,571,59.9101207,10.7407129,Over Rådhusgata,langs Nedre Slottsgate
186,572,59.92226850808104,10.679579749668129,Skøyen,under broen
187,573,59.91177629920927,10.735113005880237,Tordenskiolds gate,ved Rådhusgata
188,574,59.9107393,10.7609998,Annette Thommessens Plass,langs Schweigaards gate
189,575,59.94743324225673,10.732569703704817,Sognsveien,ved Ullevål Stadion T-bane
190,576,59.911392299457006,10.747281829592453,Dronningens gate,sør for Karl Johan
191,577,59.9121472,10.7480527,Arkaden Nord,langs Dronningens gate
192,578,59.922777,10.738655,Hallings gate,langs Dalsbergstien
193,579,59.924732,10.724628,Bogstadveien,ved Sporveisgata
194,580,59.939025551395765,10.723002619643406,Georg Morgenstiernes hus,ved Moltke Moes vei
195,581,59.908227,10.781088,Jordalgata,ved Galgeberg busstopp
196,582,59.94114763297182,10.750775120272449,Stavangergata,ved Uelands gate
197,583,59.90707579234818,10.779164402446728,Galgeberg,langs St. Halvards gate
198,584,59.9268942,10.7207894,Henrik Wergelands allé,ved Bogstadveien
199,585,59.92114988507087,10.754714015938562,Nordre gate,ved Grünerbrua
200,586,59.9294565845173,10.769121495700826,Københavngata busstopp,ved Fagerheim tennisklubb
